"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","publicationDate","submissionType","numAssays","species"
"PMDX001353","PXD001353","brain","brain","2015-05-15","COMPLETE","24","Homo sapiens (Human)"
"PMDX002131","PXD002131","brain","blood plasma;JURKAT cell;spleen;urine;cell culture;primary cell;HeLa cell;cerebrospinal fluid;cell suspension culture;erythrocyte","2015-07-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX002549","PXD002572","brain","cell culture;urine;cerebrospinal fluid","2015-07-30","PARTIAL","0","Homo sapiens (Human)"
"PMDX002775","PXD002775","brain","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","2015-10-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX002813","PXD002813","brain","brain","2015-10-01","PARTIAL","0","Homo sapiens (Human)"
"PMDX002707","PXD002707","brain","blood plasma;urine;cerebrospinal fluid","2015-10-02","PARTIAL","0","Homo sapiens (Human)"
"PMDX002959","PXD002959","brain","brain","2015-11-18","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX003024","PXD003024","brain","cerebrospinal fluid","2015-12-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX002614","PXD002614","non tissue","brain","2016-01-13","COMPLETE","16","Homo sapiens (Human)"
"PMDX003071","PXD003071","brain","cell culture;brain","2016-02-04","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX001987","PXD001987","brain","brain","2016-04-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX003075","PXD003075","brain","cerebrospinal fluid","2016-03-14","COMPLETE","15","Homo sapiens (Human)"
"PMDX003027","PXD003027","brain","brain","2016-04-07","PARTIAL","0","Homo sapiens (Human)"
"PMDX002783","PXD002783","brain","brain","2016-04-15","PARTIAL","0","Homo sapiens (Human)"
"PMDX003733","PXD003733","brain","liver;brain","2016-04-28","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX002884","PXD002911","brain","cerebrospinal fluid","2016-05-18","COMPLETE","29","Homo sapiens (Human)"
"PMDX002884","PXD002884","brain","cerebrospinal fluid","2016-05-11","COMPLETE","37","Homo sapiens (Human)"
"PMDX002448","PXD002448","brain","brain","2016-05-23","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX004010","PXD004010","brain","brain","2017-02-20","PARTIAL","0","Homo sapiens (Human)"
"PMDX002967","PXD002967","brain","female pudendum;prostate gland;skin;hair follicle;thyroid gland;stomach;testis;helper T-lymphocyte;kidney;seminal vesicle;uterus;ascites;cardia;retina;pancreas;T-lymphocyte;adrenal gland;spinal cord;natural killer cell;tonsil;uterine cervix;spleen;liver;anus;milk;bone;gall bladder;heart;lung;saliva;cerebral cortex;blood platelet;ovary;mouth;lymph node;adipocyte;cerebrospinal fluid;bladder;frontal lobe;colon;B-lymphocyte;placenta;monocyte;rectum;nasopharynx;esophagus;breast;fetus","2016-05-27","PARTIAL","0","Homo sapiens (Human)"
"PMDX002424","PXD002424","brain","cerebrospinal fluid","2016-09-27","COMPLETE","240","Homo sapiens (Human)"
"PMDX004499","PXD004499","brain","brain","2016-09-29","PARTIAL","0","Homo sapiens (Human)"
"PMDX004332","PXD004332","brain","pineal gland","2017-02-02","PARTIAL","0","Homo sapiens (Human)"
"PMDX004540","PXD004540","brain","cerebrospinal fluid","2016-10-13","COMPLETE","1","Homo sapiens (Human)"
"PMDX004540","PXD004572","brain","cerebrospinal fluid","2016-10-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX004987","PXD004987","brain","brain","2016-12-22","COMPLETE","9","Homo sapiens (Human)"
"PMDX004437","PXD004437","brain","brain","2016-12-13","PARTIAL","0","Homo sapiens (Human)"
"PMDX004863","PXD004863","brain","cerebrospinal fluid","2017-01-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX003289","PXD003289","brain","brain","2017-01-20","PARTIAL","0","Homo sapiens (Human)"
"PMDX004867","PXD004867","brain","brain","2017-07-05","PARTIAL","0","Homo sapiens (Human)"
"PMDX005753","PXD005753","brain","brain","2017-06-29","COMPLETE","6","Homo sapiens (Human);Mus musculus (Mouse)"
"PMDX006471","PXD006471","brain","thyroid gland;brain","2017-07-07","COMPLETE","80","Homo sapiens (Human)"
"PMDX004075","PXD004076","brain","brain","2017-07-14","PARTIAL","0","Homo sapiens (Human)"
"PMDX004075","PXD005065","brain","brain","2017-07-14","PARTIAL","0","Homo sapiens (Human)"
"PMDX004143","PXD004143","brain","brain","2017-07-31","PARTIAL","0","Homo sapiens (Human)"
"PMDX004219","PXD004219","brain","cerebrospinal fluid","2017-08-03","COMPLETE","28","Homo sapiens (Human)"
"PMDX005629","PXD005629","brain","brain","2017-08-23","PARTIAL","0","Homo sapiens (Human)"
"PMDX005119","PXD005119","brain","brain","2017-09-04","PARTIAL","0","Homo sapiens (Human)"
"PMDX005119","PXD006552","brain","brain","2017-08-28","COMPLETE","1","Homo sapiens (Human)"
"PMDX005314","PXD005314","brain","cerebrospinal fluid","2018-04-05","PARTIAL","0","Homo sapiens (Human)"
"PMDX006798","PXD006798","brain","brain","2017-09-29","PARTIAL","0","Homo sapiens (Human)"
"PMDX003519","PXD003519","brain","brain","2017-12-04","COMPLETE","8","Homo sapiens (Human)"
"PMDX005445","PXD005445","brain","brain","2018-01-09","PARTIAL","0","Homo sapiens (Human)"
"PMDX004930","PXD004930","brain","brain","2017-12-11","PARTIAL","0","Homo sapiens (Human)"
"PMDX006122","PXD006122","brain","brain","2017-12-08","PARTIAL","0","Homo sapiens (Human)"
"PMDX007235","PXD007235","brain","brain","2018-04-06","PARTIAL","0","Homo sapiens (Human)"
"PMDX008076","PXD008076","brain","cerebrospinal fluid","2018-04-24","COMPLETE","77","Homo sapiens (Human)"
"PMDX008625","PXD008625","brain","liver;brain","2018-06-18","PARTIAL","0","Homo sapiens (Human)"
"PMDX008311","PXD008311","non tissue","brain","2018-07-30","COMPLETE","6","Homo sapiens (Human)"
"PMDX009578","PXD009578","non tissue","brain","2018-07-30","PARTIAL","0","Homo sapiens (Human);Rattus norvegicus (Rat)"
"PMDX008127","PXD008127","brain","brain","2018-08-06","PARTIAL","0","Homo sapiens (Human)"
"PMDX010230","PXD010230","brain","cerebrospinal fluid","2018-08-13","COMPLETE","9","Homo sapiens (Human)"
"PMDX008022","PXD008022","non tissue","brain","2018-10-22","PARTIAL","0","Homo sapiens (Human)"
"PMDX008022","PXD008023","non tissue","brain","2018-10-22","PARTIAL","0","Homo sapiens (Human)"
"PMDX009646","PXD009646","brain","cerebrospinal fluid","2018-08-29","COMPLETE","1","Homo sapiens (Human)"
"PMDX009227","PXD009227","non tissue","brain","2018-09-07","PARTIAL","0","Homo sapiens (Human)"
"PMDX006607","PXD006607","brain","brain","2018-09-10","PARTIAL","0","Homo sapiens (Human)"
"PMDX009624","PXD009624","brain","cerebrospinal fluid;brain;blood","2018-09-17","COMPLETE","64","Homo sapiens (Human)"
"PMDX009624","PXD010705","brain","cerebrospinal fluid","2018-09-17","PARTIAL","0","Homo sapiens (Human)"
"PMDX009624","PXD010690","brain","brain","2018-09-17","COMPLETE","54","Homo sapiens (Human)"
"PMDX009624","PXD010708","brain","cerebrospinal fluid","2018-09-17","COMPLETE","15","Homo sapiens (Human)"
"PMDX009624","PXD010698","brain","cerebrospinal fluid","2018-09-17","COMPLETE","5","Homo sapiens (Human)"
"PMDX009251","PXD009251","brain","brain","2018-10-22","PARTIAL","0","Homo sapiens (Human);Rattus norvegicus (Rat);Mus musculus (Mouse);marmosets"
"PMDX007842","PXD007842","brain","saliva;urine;blood serum;cerebrospinal fluid","2018-11-15","PARTIAL","0","Homo sapiens (Human);Trypanosoma brucei"
"PMDXID NotAvail","PXD007873","brain","brain","2018-10-10","PARTIAL","0","Homo sapiens (Human)"
"PMDXID NotAvail","PXD008795","brain","cerebral cortex;arcuate nucleus;hypothalamic nucleus;paraventricular nucleus of hypothalamus","2018-08-22","COMPLETE","7","Homo sapiens (Human)"
"PMDXID NotAvail","PXD004355","brain","brain","2018-07-04","PARTIAL","0","Homo sapiens (Human)"
"PMDXID NotAvail","PXD007160","brain","brain","2018-02-07","PARTIAL","0","Homo sapiens (Human)"
"PMDXID NotAvail","PXD006633","brain","cell culture;primary cell;colon;brain","2017-11-23","PARTIAL","0","Homo sapiens (Human)"
"PMDXID NotAvail","PXD001082","brain","cerebrospinal fluid","2015-01-23","PARTIAL","0","Homo sapiens (Human)"
"PMDXID NotAvail","PRD000828","brain","neurohypophysis;adenohypophysis","2011-03-01","PRIDE","2","Homo sapiens (Human)"
"PMDXID NotAvail","PRD000799","brain","brain","2011-01-12","PRIDE","1","Homo sapiens (Human)"
"PMDXID NotAvail",NA,NA,NA,NA,NA,NA,NA
